,age,team,code,city
SF Tremors Cobras 14‐1,14,SF Tremors Cobras 14‐1,fj4sftrm1nc,"SAN FRANCISCO, CA"
Central Cal Gold 14‐1,14,Central Cal Gold 14‐1,fj4clovs1nc,"FRESNO, CA"
Delta Valley 14‐1,14,Delta Valley 14‐1,fj4delta1nc,"Stockton, CA"
Red Rock 14‐2,14,Red Rock 14‐2,fj4rrock2nc,"Redwood City, CA"
SF Tremors Falcons 14‐2,14,SF Tremors Falcons 14‐2,fj4sftrm2nc,"SAN FRANCISCO, CA"
Main Beach Gold 14 Travel,14,Main Beach Gold 14 Travel,fj4mainb1nc,"Capitola, CA"
SynergyForce 14 Gold,14,SynergyForce 14 Gold,fj4force1nc,"Sacramento, CA"
NNJ Amy 14‐1,14,NNJ Amy 14‐1,fj4nnejr1nc,"Sparks, NV"
Absolute Pink 14‐2,14,Absolute Pink 14‐2,fj4absol2nc,"San Rafael, CA"
Palo Alto Platinum 14‐1,14,Palo Alto Platinum 14‐1,fj4palto1nc,"Palo Alto, CA"
Vision 14 Blue,14,Vision 14 Blue,fj4vsion2nc,"Los Gatos, CA"
NCVC Flashpoint 14‐2,14,NCVC Flashpoint 14‐2,fj4ncvcb2nc,"Meadow Vista, CA"
Soljahs 14‐1,14,Soljahs 14‐1,fj4solhs1nc,"SAN MATEO, CA"
